BWV 807,https://music-emo.oss-cn-beijing.aliyuncs.com/BWV 807.mp3,1,3,5
Canon in D,https://music-emo.oss-cn-beijing.aliyuncs.com/Canon in D.mp3,1,4,4
Chopin C sharp,https://music-emo.oss-cn-beijing.aliyuncs.com/Chopin C sharp.mp3,1,-2,1
Chopin E flat,https://music-emo.oss-cn-beijing.aliyuncs.com/Chopin E flat.mp3,1,5,8
KV 265,https://music-emo.oss-cn-beijing.aliyuncs.com/KV 265.mp3,1,4,4
La Campanella,https://music-emo.oss-cn-beijing.aliyuncs.com/La Campanella.mp3,1,4,9
La plus que lente,https://music-emo.oss-cn-beijing.aliyuncs.com/La plus que lente.mp3,1,2,5
None shall sleep,https://music-emo.oss-cn-beijing.aliyuncs.com/None Shall Sleep.mp3,1,1,4
The Blue Danube,https://music-emo.oss-cn-beijing.aliyuncs.com/Rhapsody in Blue.mp3,1,5,10
The Swan,https://music-emo.oss-cn-beijing.aliyuncs.com/The swan.mp3,1,4,6
Trumpet Voluntary,https://music-emo.oss-cn-beijing.aliyuncs.com/Trumpet Voluntary.mp3,1,3,5
Turkish March,https://music-emo.oss-cn-beijing.aliyuncs.com/Turkish March.mp3,1,5,9
Brahms Lullaby,https://music-emo.oss-cn-beijing.aliyuncs.com/Brahms Lullaby.mp3,1,3,3
Clair De Lune,https://music-emo.oss-cn-beijing.aliyuncs.com/Clair De Lune.mp3,1,1,6
Moonlight Sonata,https://music-emo.oss-cn-beijing.aliyuncs.com/Moonlight Sonata.mp3,1,-4,7
Loveus Sorrow,https://music-emo.oss-cn-beijing.aliyuncs.com/Love's Sorrow.mp3,1,3,6
Minuet in G major,https://music-emo.oss-cn-beijing.aliyuncs.com/Minuet in G major.mp3,1,3,5
Prelude and Fugue,https://music-emo.oss-cn-beijing.aliyuncs.com/Prelude and Fugue.mp3,1,1,5
Sonata No.17 in D minor,https://music-emo.oss-cn-beijing.aliyuncs.com/Sonata No.17 in D Minor.mp3,1,-3,8
Standchen,https://music-emo.oss-cn-beijing.aliyuncs.com/Standchen.mp3,1,-1,5
humoresque,https://music-emo.oss-cn-beijing.aliyuncs.com/humoreske.mp3,1,3,4
Croatian Rhapsody,https://music-emo.oss-cn-beijing.aliyuncs.com/croatian rhapsody.mp3,1,0,8
Song of vagrant,https://music-emo.oss-cn-beijing.aliyuncs.com/song of vagrant.mp3,1,2,4
Serenade,https://music-emo.oss-cn-beijing.aliyuncs.com/serenade.mp3,1,-3,3
butterfly lovers,https://music-emo.oss-cn-beijing.aliyuncs.com/butterfly lovers.mp3,1,-2,5
Flight of the bumble bee,https://music-emo.oss-cn-beijing.aliyuncs.com/flight of the bumblebee.mp3,1,1,9
to alice,https://music-emo.oss-cn-beijing.aliyuncs.com/to alice.mp3,1,0,2
Romance de Amor,https://music-emo.oss-cn-beijing.aliyuncs.com/romance de amor.mp3,1,-3,2
erquanyingyue,https://music-emo.oss-cn-beijing.aliyuncs.com/erquanyingyue.mp3,1,-5,6
chunjiang,https://music-emo.oss-cn-beijing.aliyuncs.com/chunjiang.mp3,1,4,3
A Comme Amour,https://music-emo.oss-cn-beijing.aliyuncs.com/A Comme Amour.mp3,2,-3,3
Always with Me,https://music-emo.oss-cn-beijing.aliyuncs.com/Always With Me.mp3,2,3,3
Castle in the sky,https://music-emo.oss-cn-beijing.aliyuncs.com/Castle in the Sky Piano.mp3,2,-3,1
da yu,https://music-emo.oss-cn-beijing.aliyuncs.com/da yu.mp3,2,-2,2
Despacito,https://music-emo.oss-cn-beijing.aliyuncs.com/Despacito.mp3,2,3,7
Kiss the rain,https://music-emo.oss-cn-beijing.aliyuncs.com/Kiss the Rain.mp3,2,-2,2
My heart will go on,https://music-emo.oss-cn-beijing.aliyuncs.com/my heart will go on.mp3,2,2,4
Pirates of the Caribbean,https://music-emo.oss-cn-beijing.aliyuncs.com/Pirates of the Caribbean.mp3,2,4,10
Remember me,https://music-emo.oss-cn-beijing.aliyuncs.com/remember me.mp3,2,-2,6
Rhapsody in Blue,https://music-emo.oss-cn-beijing.aliyuncs.com/The Blue Danube (1).mp3,2,1,5
River Flows in You,https://music-emo.oss-cn-beijing.aliyuncs.com/River Flows in You.mp3,2,2,3
summer,https://music-emo.oss-cn-beijing.aliyuncs.com/summer.mp3,2,5,5
This is the moment,https://music-emo.oss-cn-beijing.aliyuncs.com/This is the moment.mp3,2,2,3
Three Inches Of Heaven,https://music-emo.oss-cn-beijing.aliyuncs.com/Three Inches Of Heaven.mp3,2,-3,3
Spirited Away Theme,https://music-emo.oss-cn-beijing.aliyuncs.com/Spirited Away Theme.mp3,2,-2,4
Melody of the Night 5,https://music-emo.oss-cn-beijing.aliyuncs.com/Melody of the Night 5.mp3,2,-3,3
When Love Became The Past,https://music-emo.oss-cn-beijing.aliyuncs.com/When Love Became The Past.mp3,2,-4,3
Mariage Duamour,https://music-emo.oss-cn-beijing.aliyuncs.com/Mariage D'amour.mp3,2,-4,2
Those Bygone Years,https://music-emo.oss-cn-beijing.aliyuncs.com/Those Bygone Years.mp3,2,-2,4
Farewell,https://music-emo.oss-cn-beijing.aliyuncs.com/Farewell.mp3,2,-4,2
fly insect,https://music-emo.oss-cn-beijing.aliyuncs.com/fly insect.mp3,2,-1,2
impasse,https://music-emo.oss-cn-beijing.aliyuncs.com/impasse.mp3,2,-3,3
senorita,https://music-emo.oss-cn-beijing.aliyuncs.com/senorita.mp3,2,6,6
like you,https://music-emo.oss-cn-beijing.aliyuncs.com/like you.mp3,2,-1,3
the dawn,https://music-emo.oss-cn-beijing.aliyuncs.com/the dawn.mp3,2,4,7
yequ,https://music-emo.oss-cn-beijing.aliyuncs.com/yequ.mp3,2,-2,5
zhuiguangzhe,https://music-emo.oss-cn-beijing.aliyuncs.com/zhuiguangzhe.mp3,2,3,2
All of me ,https://music-emo.oss-cn-beijing.aliyuncs.com/all of me.mp3,2,2,5
zuoshouzhiyue,https://music-emo.oss-cn-beijing.aliyuncs.com/zuoshouzhiyue.mp3,2,-3,3
faded,https://music-emo.oss-cn-beijing.aliyuncs.com/faded.mp3,2,-1,4
Almost a Whisper,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - Almost a Whisper.mp3,3,1,4
Blue,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - Blue.mp3,3,3,6
Breathe,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - Breathe.mp3,3,2,5
Butterfly dance,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - Butterfly Dance.mp3,3,5,7
Enchantment,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - Enchantment.mp3,3,4,6
Farewell(Yanni),https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - Farewell.mp3,3,-4,6
If I could Tell you,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - If I Could Tell You.mp3,3,-3,8
In the Mirror,https://music-emo.oss-cn-beijing.aliyuncs.com/YANNI-In the Mirror.mp3,3,3,7
In The Morning Light,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - In The Morning Light.mp3,3,2,6
In Your Eyes,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - In Your Eyes.mp3,3,3,6
Marching Season,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - Marching Season.mp3,3,0,10
Nightingale,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni-Nightingale.mp3,3,2,7
Nostalgia,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - Nostalgia.mp3,3,-2,9
One Man's Dream,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - One Man's Dream.mp3,3,1,6
The Flame Within,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - The Flame Within.mp3,3,0,5
The Mermaid,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - The Mermaid.mp3,3,-2,7
The rain must fall,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - The Rain Must Fall.mp3,3,4,7
To the one who knows,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - To The One Who Knows.mp3,3,3,5
When Dreams Come True,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - When Dreams Come True.mp3,3,2,6
Whispers in the Dark,https://music-emo.oss-cn-beijing.aliyuncs.com/Yanni - Whispers in the Dark.mp3,3,1,5
Adagio in C Minor,https://music-emo.oss-cn-beijing.aliyuncs.com/Adagio In C Minor.mp3,3,-2,7
A Love for Life,https://music-emo.oss-cn-beijing.aliyuncs.com/A Love for Life.mp3,3,3,6
Felitsa,https://music-emo.oss-cn-beijing.aliyuncs.com/Felitsa.mp3,3,-1,5
Keys to Imagination,https://music-emo.oss-cn-beijing.aliyuncs.com/Keys to Imagination.mp3,3,3,7
Reflections of Passion,https://music-emo.oss-cn-beijing.aliyuncs.com/Reflections of Passion.mp3,3,-1,8
